Специалисты B-Person
Data B-Science
Science I-Science
часто O
применяют O
различные O
методы B-Method
получения O
датасетов B-Dataset
. O
Профессионалы O
в O
области O
Data B-Science
Science I-Science
часто O
используют O
различные O
подходы O
к O
созданию O
наборов B-Dataset
данных I-Dataset
. O
Цель O
этой O
статьи O
— O
представить O
краткий O
обзор O
трех O
разных O
методов B-Method
извлечения B-Task
данных B-Dataset
с O
использованием O
языка B-Lang
Python B-Lang
. O
Я O
расскажу O
, O
как O
делать O
это O
с O
помощью O
Jupyter B-Application
Notebook I-Application
. O
Библиотека O
SQLAlchemy B-Application
позволит O
связать O
ваш O
код O
в O
ноутбуке O
с O
наиболее O
распространенными O
типами O
баз O
данных B-Dataset
. O
Мы O
собираемся O
применить O
Beautiful B-Application
Soup I-Application
и O
библиотеку O
urllib B-Application
, O
чтобы O
соскрапить O
названия O
отелей O
и O
цены O
на O
них O
с O
веб-сайта O
TripAdvisor B-InfoResource
. O
Я O
приведу O
простой O
пример O
извлечения B-Task
данных B-Object
о O
погоде B-Subject
с O
общедоступного O
API B-InfoResource
Dark B-InfoResource
Sky I-InfoResource
. O
Для	O
доступа	O
к	O
данным	O
из	O
Dark	B-Dataset
Sky	I-Dataset
я	O
воспользуюсь	O
библиотекой	B-Application
requests	I-Application
.	O
