1 B-Date
January I-Date
2010 B-Year
at O
07:59 O
Заметки B-Task
об O
NLP B-Subject
( O
часть B-Object
2 I-Object
) O
Artificial B-Science
Intelligence I-Science
Natural B-Science
Language I-Science
Processing I-Science
. O
Заметки O
об O
NLP B-Science
( O
Natural B-Science
Language I-Science
Processing I-Science
) O
. O
Хотя O
в O
первой B-Task
части B-Task
я I-Task
и O
говорил B-Person
, O
что O
не B-Person
собираюсь O
останавливаться B-Task
на O
морфологии B-Method
, O
видимо O
, O
совсем B-Negation
без O
неё B-Method
не B-Negation
получится B-Task
. O
Всё-таки O
обработка B-Task
предложений I-Task
сильно O
завязана O
на O
предшествующий O
морфологический B-Method
анализ I-Method
. O
Наш B-Organization
с I-Organization
вами O
родной B-Lang
русский B-Lang
язык O
очень O
хорош B-InfoResource
(
для I-Organization
нас I-Organization
) I-InfoResource
и O
труден B-Task
(
для I-Organization
иностранцев I-Organization
) I-Task
богатой B-Environment
фонетикой I-Environment
и I-Environment
разнообразием I-Environment
грамматических I-Environment
средств B-Environment
. O
Во-первых O
, O
в O
них O
не O
так O
много O
незнакомых O
нам O
фонем B-Object
. O
Во-вторых O
, O
обилие B-Enviroment
грамматических B-Science
явлений I-Science
редко O
сталкивает B-Task
нас I-Task
с O
чем-либо O
непонятным B-InfoResource
. O
А B-Person
для B-Person
американца B-Person
, O
например O
, O
само B-InfoResource
понятие B-Subject
рода B-Lang
или B-Lang
падежа B-Lang
совершенно B-InfoResource
неочевидно B-InfoResource
. O
Теперь O
о O
морфологии B-Science
. O
Автоматические B-Model
морфологические B-Method
анализаторы B-Task
работают B-Activity
хорошо B-Metric
. O
Если B-Task
кому B-Person
интересно B-Person
посмотреть B-Person
, O
как O
работает O
автоматический B-Application
анализатор I-Application
— O
можно B-Task
поэкспериментировать B-Task
на O
сайте B-InfoResource
С.А. B-Person
Старостина B-Person
. O
Смею B-Person
предположить B-Task
, O
что O
едва O
ли O
не O
все B-Model
морфологические B-Method_ML
анализаторы B-Model
русского B-Lang
так B-Method
или B-Method
иначе O
опираются B-Method
на B-InfoResource
Грамматический B-InfoResource
словарь B-InfoResource
Зализняка B-Person
. O
Сам B-Person
я O
пользуюсь O
разработками B-Application
Алексея B-Person
Сокирко B-Person
, O
« O
обёрнутыми O
» O
в O
удобный B-Environment
интерфейс B-InfoResource
на B-InfoResource
сайте B-InfoResource
Lemmatizer B-InfoResource
. O
Судите O
сами O
: O
упомянутый B-Person
русский B-Lang
морфологический B-Method_ML
анализатор B-Model
Алексея B-Person
Сокирко B-Person
оперирует O
базой B-Dataset
данных B-InfoResource
в O
18,5 B-Metric
мегабайт B-Metric
. O
На B-Organization
Грамоте B-Organization
предлагают O
относить O
их O
к B-Subject
« I-Subject
предикативам I-Subject
» I-Subject
, O
но O
общепринятого B-Method_ML
подхода O
нет I-Method_ML
. O
Например O
, O
ещё O
одна B-Task
« B-Task
фича I-Task
» I-Task
анализатора B-Person
Сокирко B-Person
: O
он B-Person
называет B-Method
глаголы B-Object
в B-Lang
личной B-Lang
форме B-Lang
( O
« O
бегаю B-Object
» O
) O
глаголами B-Object
, O
а B-Method
в B-Lang
начальной B-Lang
форме B-Lang
( O
« O
бегать B-Object
» O
) O
— O
инфинитивами B-Method
. O
Tags O
: O
NLP B-Science
, O
обработка B-Task
текстов I-Task
, O
компьютерная B-Science
лингвистика I-Science
. O
Туториал B-Task
по B-Application
фреймворку B-Application
для B-Task
программирования B-Task
датасетов B-Dataset
MTS B-Organization
AI B-Organization
corporate B-Organization
blog B-InfoResource
. O
Я B-Person
Игорь B-Person
Буянов B-Person
, O
старший O
разработчик B-Task
группы B-Organization
разметки B-Task
данных B-Dataset
MTS B-Organization
AI B-Organization
. O
Недавно B-Task
рассказывал O
о O
том B-Task
, O
как B-Task
делать I-Task
иерархически B-Task
датасет I-Task
из O
Википедии B-InfoResource
. O
В O
этом O
посте B-Application
хочу O
рассказать B-Task
вам O
о B-Model
Сноркеле B-ML
- B-Method_ML
фреймворке B-Environment
для B-Task
программирования B-Task
данных B-Dataset
( O
data B-Dataset
programming B-Task
) O
. O
Проект B-Task
стартовал B-Task
в B-Organization
Стэнфорде B-Organization
как O
инструмент B-Tool
для O
помощи B-Help
в B-Task
разметке B-Task
датасетов B-Dataset
для B-Task
задачи B-Task
information B-InfoResource
extraction B-Task
, O
а O
сейчас O
разработчики B-Person
делают B-Task
платформу B-Tool
для O
пользования B-Help
внешними B-Environment
заказчиками B-Person
. O
В B-Task
разметочные B-Method
функции I-Method
( B-Task
labeling B-Method
functions I-Method
) B-Task
закодированы O
все B-Dataset
возможные B-Rule
правила B-Rule
, O
по B-Task
которому B-Task
можно B-Task
поставить B-Task
какую-либо B-Label
метку B-Label
каждому B-Object
примеру B-Object
из B-Dataset
набора B-Dataset
данных I-Dataset
. O
В O
качестве O
основы O
для O
таких O
функций O
используются O
: O
внешние O
базы B-InfoResource
данных I-InfoResource
, O
такие O
как O
WordNet B-InfoResource
или O
WikiBase B-InfoResource
. O
Генеративная B-Model
модель I-Model
, O
являющаяся B-Object
сердцем B-Object
Сноркеля B-Application
, O
попытается B-Task
учесть O
недостатки O
отдельных B-Method
функций O
. О
Для B-Task
наглядности O
оставляю O
здесь O
иллюстрацию B-Object
с B-Task
последовательностью B-Task
работы B-Task
со S-Object
Снокрелем B-Model
для B-Task
задачи B-Task
information B-Task
extraction B-Task
из O-Object
оригинальной B-InfoResource
статьи B-InfoResource
. O
Авторы B-Person
оригинальной B-Object
статьи B-InfoResource
представляют B-Task
ее B-Task
как B-Model
факторный B-Model
граф B-Model
, O
или O
графическую B-Model
вероятностную B-Model
модель B-Model
. O
Тогда O
модель B-Model
определяется O
так O
, O
чтобы O
обучить O
эту O
модель B-Model
без O
доступа O
к O
истинным O
меткам O
, O
это O
нужно O
обучаться B-Task
с B-Method_ML
помощью B-Method_ML
логирафмического B-Method_ML
негативного B-Method_ML
маргинализированного B-Method_ML
правдоподобия B-Method_ML
, B-Method_ML
зная B-Object
матрицу B-Object
. O
Оптимизацию B-Task
авторы B-Person
проводили B-Method
с B-Method_ML
помощью B-Method_ML
SGD B-Model
с O
семплированием B-Method
Гиббса I-Method
. O
Загрузим O
заранее O
обученную O
модель B-Model
fastText B-Model
, O
чей O
выбор O
объясняется O
наличием O
огромного O
количества O
опечаток O
в O
текстах O
. O
Таким O
образом O
мы O
получили O
опорный B-Object
вектор B-Object
для O
класса O
" O
диарея O
" O
. O
