Решать B-Task
задачу I-Task
будем O
с O
использованием O
нейронных B-Model
сетей I-Model
, O
но O
оптимизируемых O
генетическим B-Method
алгоритмом I-Method
( I-Method
ГА I-Method
) I-Method
– O
такой O
процесс O
называют O
нейроэволюцией O
. O
Мы O
воспользовались O
методом B-Method
NEAT B-Method
( O
NeuroEvolution B-Method
of I-Method
Augmenting I-Method
Topologies I-Method
) O
, O
изобретенным O
Кеннетом B-Person
Стенли I-Person
и O
Ристо B-Person
Мииккулайненом I-Person
в O
начале O
века O
[ O
1 O
] O
: O
во-первых O
, O
он O
хорошо O
зарекомендовал O
себя O
в O
важных O
для O
народного O
хозяйства O
проблемах O
, O
во-вторых O
, O
к O
началу O
работы O
над O
проектом O
у O
нас O
уже O
был O
свой O
фреймворк O
, O
реализующий O
NEAT B-Method
. O
