Модель,Промпт,Precision,Recall,F1
4o,reference_one_shot,0.132,0.009,0.014
"4,1",reference_one_shot,0.042,0.029,0.032
4o-mini-tuned,reference_one_shot,0.186,0.185,0.183
"4,1-mini-tuned",reference_one_shot,0.163,0.188,0.173
4o,reference_zero_shot,0.085,0.005,0.009
"4,1",reference_zero_shot,0.056,0.021,0.024
4o-mini-tuned,reference_zero_shot,0.183,0.211,0.19
"4,1-mini-tuned",reference_zero_shot,0.148,0.189,0.164
4o,2_new_ref_CoT,0.064,0.008,0.014
"4,1",2_new_ref_CoT,0.0,0.0,0.0
4o-mini-tuned,2_new_ref_CoT,0.162,0.213,0.177
"4,1-mini-tuned",2_new_ref_CoT,0.168,0.205,0.182
4o,3_new_ref_CoT,0.097,0.009,0.014
"4,1",3_new_ref_CoT,0.067,0.03,0.036
4o-mini-tuned,3_new_ref_CoT,0.212,0.266,0.219
"4,1-mini-tuned",3_new_ref_CoT,0.165,0.186,0.174
4o-mini-tuned,3_new_ref_CoT_updated,0.025,0.115,0.041
"4,1-mini-tuned",3_new_ref_CoT_updated,0.064,0.241,0.101
"4,1-mini-tuned",3_new_ref_CoT_updated_BIO,0.032,0.069,0.04
